rt_id;rt_code;rt_code_ext;rt_fo_code;rt_fo_ordr;rt_comment;rt_creadat;rt_majdate;rt_majsrc;rt_abddate;rt_abdsrc
1;RT000000000001;Route 001 vers SUF SF000180031330;FO180034417001;;;08/06/2015;;;;
2;RT000000000001;Route 001 vers SUF SF000180031330;FO180030329001;;;08/06/2015;;;;
3;RT000000000001;Route 001 vers SUF SF000180031330;FO180030975001;;;08/06/2015;;;;
4;RT000000000001;Route 001 vers SUF SF000180031330;FO180030916001;;;08/06/2015;;;;
5;RT000000000001;Route 001 vers SUF SF000180031330;FO180030017101;;;08/06/2015;;;;
6;RT000000000001;Route 001 vers SUF SF000180031330;FO180030227101;;;08/06/2015;;;;
8;RT000000000001;Route 001 vers SUF SF000180031330;FO180030003001;;;08/06/2015;;;;
9;RT000000000001;Route 001 vers SUF SF000180031330;FO180030007001;;;08/06/2015;;;;
10;RT000000000001;Route 001 vers SUF SF000180031330;FO180030008101;;;08/06/2015;;;;
11;RT000000000001;Route 001 vers SUF SF000180031330;FO180030257101;;;08/06/2015;;;;
12;RT000000000002;Route 001 vers SUF SF001180031330;FO180034417002;;;08/06/2015;;;;
13;RT000000000002;Route 001 vers SUF SF001180031330;FO180030329002;;;08/06/2015;;;;
14;RT000000000002;Route 001 vers SUF SF001180031330;FO180030975002;;;08/06/2015;;;;
15;RT000000000002;Route 001 vers SUF SF001180031330;FO180030916002;;;08/06/2015;;;;
16;RT000000000002;Route 001 vers SUF SF001180031330;FO180030027101;;;08/06/2015;;;;
17;RT000000000002;Route 001 vers SUF SF001180031330;FO180030227101;;;08/06/2015;;;;
18;RT000000000002;Route 001 vers SUF SF001180031330;FO180030001001;;;08/06/2015;;;;
19;RT000000000002;Route 001 vers SUF SF001180031330;FO180030003001;;;08/06/2015;;;;
20;RT000000000002;Route 001 vers SUF SF001180031330;FO180030007001;;;08/06/2015;;;;
21;RT000000000002;Route 001 vers SUF SF001180031330;FO180030008101;;;08/06/2015;;;;
22;RT000000000002;Route 001 vers SUF SF001180031330;FO180030257101;;;08/06/2015;;;;
23;RT000000000003;Route 001 vers SUF SF000180031092;FO180034421001;;;08/06/2015;;;;
24;RT000000000003;Route 001 vers SUF SF000180031092;FO180030739001;;;08/06/2015;;;;
25;RT000000000003;Route 001 vers SUF SF000180031092;FO180030975003;;;08/06/2015;;;;
26;RT000000000003;Route 001 vers SUF SF000180031092;FO180030916003;;;08/06/2015;;;;
27;RT000000000003;Route 001 vers SUF SF000180031092;FO180030037101;;;08/06/2015;;;;
28;RT000000000003;Route 001 vers SUF SF000180031092;FO180030227101;;;08/06/2015;;;;
29;RT000000000003;Route 001 vers SUF SF000180031092;FO180030001001;;;08/06/2015;;;;
30;RT000000000003;Route 001 vers SUF SF000180031092;FO180030003001;;;08/06/2015;;;;
31;RT000000000003;Route 001 vers SUF SF000180031092;FO180030007001;;;08/06/2015;;;;
32;RT000000000003;Route 001 vers SUF SF000180031092;FO180030008101;;;08/06/2015;;;;
33;RT000000000003;Route 001 vers SUF SF000180031092;FO180030257101;;;08/06/2015;;;;
34;RT000000000004;Route 001 vers SUF SF000180031284;FO180034603001;;;08/06/2015;;;;
35;RT000000000004;Route 001 vers SUF SF000180031284;FO180030341001;;;08/06/2015;;;;
36;RT000000000004;Route 001 vers SUF SF000180031284;FO180030916004;;;08/06/2015;;;;
37;RT000000000004;Route 001 vers SUF SF000180031284;FO180030047101;;;08/06/2015;;;;
38;RT000000000004;Route 001 vers SUF SF000180031284;FO180030227101;;;08/06/2015;;;;
39;RT000000000004;Route 001 vers SUF SF000180031284;FO180030001001;;;08/06/2015;;;;
40;RT000000000004;Route 001 vers SUF SF000180031284;FO180030003001;;;08/06/2015;;;;
41;RT000000000004;Route 001 vers SUF SF000180031284;FO180030007001;;;08/06/2015;;;;
42;RT000000000004;Route 001 vers SUF SF000180031284;FO180030008101;;;08/06/2015;;;;
43;RT000000000004;Route 001 vers SUF SF000180031284;FO180030257101;;;08/06/2015;;;;
